TV_MONDAY,TV_TUESDAY,TV_WEDNESDAY,TV_THURSDAY,TV_FRIDAY,TV_SATURDAY,TV_SUNDAY,TOTAL_CONV
1.08,0.0,0.0,0.0,0.0,1.25,2.98,1
0.0,0.0,0.0,0.0,0.0,0.0,0.49,1
0.0,0.7,0.0,3.0,2.6,2.8,4.7,2
0.34,0.48,0.0,0.34,0.24,0.85,1.02,1
0.0,0.0,0.0,0.0,0.0,1.24,0.51,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.12,0.0,0.0,0.0,0.0,0.0,1
1.0,2.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.34,0.0,1
0.0,0.0,0.0,0.0,0.0,0.14,3.6,1
0.0,0.0,4.9,0.0,0.0,12.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.34,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
0.0,0.49,0.0,0.0,0.0,0.0,0.42,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.34,0.49,0.68,0.49,0.49,0.0,0.0,1
0.0,1.0,0.0,0.0,4.0,2.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,2.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1.49,0.0,0.0,1
0.0,0.0,0.0,0.0,0.49,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.34,0.12,0.08,0.0,1.4,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,3.96,1
0.0,0.34,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,3.43,0.68,1
0.7,1.22,0.0,0.49,0.68,0.85,2.84,1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
0.0,0.0,0.0,0.0,0.34,0.0,9.37,1
0.0,0.0,0.0,0.0,0.0,9.55,0.0,1
0.12,0.34,0.0,0.68,1.81,1.4,3.36,1
0.0,0.0,0.0,0.7,1.0,0.0,0.68,1
0.0,0.0,0.0,0.0,5.47,2.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,12.34,1
