TV_PRIMEACCESS,TV_LATEFRINGE,TV_PRIME,TV_DAYTIME,TV_EARLYMORNING,TV_EARLYFRINGE,TV_OVERNIGHT,TOTAL_CONV
0.0,0.0,0.0,2.0,0.0,1.0,0.0,0
0.0,0.0,1.0,3.0,0.0,2.0,0.0,0
0.0,0.0,3.0,0.0,0.0,4.0,0.0,0
0.0,1.0,0.0,1.0,3.0,0.0,4.0,0
0.0,0.0,0.0,1.0,0.0,3.0,0.0,0
0.0,1.0,4.0,1.0,0.0,3.0,0.0,0
2.0,11.0,10.0,6.0,0.0,4.0,1.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,2.97,0.34,0.0,0.34,0.0,1
0.0,1.0,0.0,8.0,2.0,3.0,4.0,0
0.0,0.0,1.98,1.58,0.0,0.24,0.0,1
0.0,0.0,2.0,5.0,0.0,5.0,2.0,0
3.0,0.0,7.0,6.0,2.0,1.0,0.0,0
0.0,0.0,0.0,5.0,0.0,9.0,0.0,0
5.0,1.0,18.0,17.0,4.0,17.0,0.0,0
3.9,0.24,2.36,0.92,1.69,0.53,2.1,1
0.0,0.0,0.0,11.0,1.0,4.0,0.0,0
0.0,0.0,1.0,0.0,9.0,0.0,0.0,0
0.0,0.0,0.0,3.0,0.0,1.0,0.0,0
0.0,7.0,3.0,4.0,0.0,11.0,17.0,0
0.0,1.0,0.0,0.0,0.0,2.0,0.0,0
0.0,2.0,1.0,5.0,14.0,0.0,0.0,0
0.0,0.0,0.0,2.0,1.0,1.0,0.0,0
0.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,0.0,0.0,0.34,0.75,0.17,0.0,1
1.0,3.0,0.0,3.0,0.0,1.0,0.0,0
0.0,17.0,3.0,0.0,11.0,0.0,7.0,0
0.0,0.0,0.04,0.7,0.0,3.57,0.0,1
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,3.96,0.0,0.0,1.84,0.0,1
3.0,0.0,17.0,4.0,1.0,8.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,0.0,3.0,1.0,0.0,1.0,0.0,0
0.0,0.0,0.0,9.0,0.0,2.0,0.0,0
1.0,0.0,3.0,1.0,0.0,1.0,0.0,0
0.65,0.0,0.6,10.29,2.82,5.73,0.0,1
0.0,0.0,0.0,3.0,0.0,0.0,0.0,0
0.0,2.0,2.0,11.0,3.0,2.0,0.0,0
